table,field,version,path
part_xii,AuditCmt,2014v6.0,Return/ReturnData/IRS990/AuditCommitteeInd
header,FilerEIN,2014v5.0,Return/ReturnHeader/Filer/EIN
header,TaxYr,2014v5.0,Return/ReturnHeader/TaxYr
header,Amended,2014v5.0,Return/ReturnHeader/AmendedReturnInd
header,FilerName1,2014v5.0,Return/ReturnHeader/Filer/BusinessName/BusinessNameLine1Txt
header,FilerName2,2014v5.0,Return/ReturnHeader/Filer/BusinessName/BusinessNameLine2Txt
header,PdBeginDt,2014v5.0,Return/ReturnHeader/TaxPeriodBeginDt
header,PdEndDt,2014v5.0,Return/ReturnHeader/TaxPeriodEndDt
header,Org501c3,2014v5.0,Return/ReturnData/IRS990/Organization501c3Ind
header,Org501cInd,2014v5.0,Return/ReturnData/IRS990/Organization501cInd
header,Org501cType,2014v5.0,Return/ReturnData/IRS990/Organization501cInd*organization501cTypeTxt
header,Org4947a1,2014v5.0,Return/ReturnData/IRS990/Organization4947a1NotPFInd
header,Org527Ind,2014v5.0,Return/ReturnData/IRS990/Organization527Ind
header,FormYr,2014v5.0,Return/ReturnData/IRS990/FormationYr
part_i,VoteBodyCount,2014v5.0,Return/ReturnData/IRS990/VotingMembersGoverningBodyCnt
part_i,VoteIndpCount,2014v5.0,Return/ReturnData/IRS990/VotingMembersIndependentCnt
part_i,Revenue,2014v5.0,Return/ReturnData/IRS990/CYTotalRevenueAmt
part_i,Expenses,2014v5.0,Return/ReturnData/IRS990/CYTotalExpensesAmt
part_i,RevLessExp,2014v5.0,Return/ReturnData/IRS990/CYRevenuesLessExpensesAmt
part_iv,CurExcess,2014v5.0,Return/ReturnData/IRS990/EngagedInExcessBenefitTransInd
part_iv,PrevExcess,2014v5.0,Return/ReturnData/IRS990/PYExcessBenefitTransInd
part_iv,HasLoan,2014v5.0,Return/ReturnData/IRS990/LoanOutstandingInd
part_iv,RelPersRevenue,2014v5.0,Return/ReturnData/IRS990/GrantToRelatedPersonInd
part_iv,BusOrgMem,2014v5.0,Return/ReturnData/IRS990/BusinessRlnWithOrgMemInd
part_iv,BusFamMem,2014v5.0,Return/ReturnData/IRS990/BusinessRlnWithFamMemInd
part_iv,BusOfficer,2014v5.0,Return/ReturnData/IRS990/BusinessRlnWithOfficerEntInd
part_vi,Diversion,2014v5.0,Return/ReturnData/IRS990/MaterialDiversionOrMisuseInd
part_vi,HasMinutes,2014v5.0,Return/ReturnData/IRS990/MinutesOfGoverningBodyInd
part_vi,PrvForm990,2014v5.0,Return/ReturnData/IRS990/Form990ProvidedToGvrnBodyInd
part_vi,COIPolicy,2014v5.0,Return/ReturnData/IRS990/ConflictOfInterestPolicyInd
part_vi,WBPolicy,2014v5.0,Return/ReturnData/IRS990/WhistleblowerPolicyInd
part_vi,DocRetPolicy,2014v5.0,Return/ReturnData/IRS990/DocumentRetentionPolicyInd
part_vi,CeoCompProc,2014v5.0,Return/ReturnData/IRS990/CompensationProcessCEOInd
part_viii,FedCmpsAmt,2014v5.0,Return/ReturnData/IRS990/FederatedCampaignsAmt
part_viii,MemDuesAmt,2014v5.0,Return/ReturnData/IRS990/MembershipDuesAmt
part_viii,FundrAmt,2014v5.0,Return/ReturnData/IRS990/FundraisingAmt
part_viii,RelOrgAmt,2014v5.0,Return/ReturnData/IRS990/RelatedOrganizationsAmt
part_viii,GovGrntAmt,2014v5.0,Return/ReturnData/IRS990/GovernmentGrantsAmt
part_viii,OtherCntAmt,2014v5.0,Return/ReturnData/IRS990/AllOtherContributionsAmt
part_viii,NoncashAmt,2014v5.0,Return/ReturnData/IRS990/NoncashContributionsAmt
part_viii,TtlCntAmt,2014v5.0,Return/ReturnData/IRS990/TotalContributionsAmt
part_viii,TtlPrgRevAmt,2014v5.0,Return/ReturnData/IRS990/TotalProgramServiceRevenueAmt
part_viii,CntRptFndAmt,2014v5.0,Return/ReturnData/IRS990/ContriRptFundraisingEventAmt
part_viii,FndGrossAmt,2014v5.0,Return/ReturnData/IRS990/FundraisingGrossIncomeAmt
part_viii,FndDirExpAmt,2014v5.0,Return/ReturnData/IRS990/FundraisingDirectExpensesAmt
part_viii,TtlFndRevAmt,2014v5.0,Return/ReturnData/IRS990/NetIncmFromFundraisingEvtGrp/TotalRevenueColumnAmt
part_viii,TtlRevAmt,2014v5.0,Return/ReturnData/IRS990/TotalRevenueGrp/TotalRevenueColumnAmt
part_ix,GrnDomOrgAmt,2014v5.0,Return/ReturnData/IRS990/GrantsToDomesticOrgsGrp/TotalAmt
part_ix,GrnDomIndAmt,2014v5.0,Return/ReturnData/IRS990/GrantsToDomesticIndividualsGrp/TotalAmt
part_ix,GrnFrnAmt,2014v5.0,Return/ReturnData/IRS990/ForeignGrantsGrp/TotalAmt
part_ix,FundrFeesAmt,2014v5.0,Return/ReturnData/IRS990/FeesForServicesProfFundraising/TotalAmt
part_ix,AffilPmtAmt,2014v5.0,Return/ReturnData/IRS990/PaymentsToAffiliatesGrp/TotalAmt
part_ix,FncExpTtlAmt,2014v5.0,Return/ReturnData/IRS990/TotalFunctionalExpensesGrp/TotalAmt
part_ix,FncExpSvcAmt,2014v5.0,Return/ReturnData/IRS990/TotalFunctionalExpensesGrp/ProgramServicesAmt
part_ix,FncExpMgtAmt,2014v5.0,Return/ReturnData/IRS990/TotalFunctionalExpensesGrp/ManagementAndGeneralAmt
part_ix,FncExpFndAmt,2014v5.0,Return/ReturnData/IRS990/TotalFunctionalExpensesGrp/FundraisingAmt
part_ix,JntCstTtlAmt,2014v5.0,Return/ReturnData/IRS990/TotalJointCostsGrp/TotalAmt
part_ix,JntCstSvcAmt,2014v5.0,Return/ReturnData/IRS990/TotalJointCostsGrp/ProgramServicesAmt
part_ix,JntCstMgtAmt,2014v5.0,Return/ReturnData/IRS990/TotalJointCostsGrp/ManagementAndGeneralAmt
part_ix,JntCstFdrAmt,2014v5.0,Return/ReturnData/IRS990/TotalJointCostsGrp/FundraisingAmt
part_x,TtlRevEOYAmt,2014v5.0,Return/ReturnData/IRS990/TotalAssetsGrp/EOYAmt
part_x,TtlLblEOYAmt,2014v5.0,Return/ReturnData/IRS990/TotalLiabilitiesGrp/EOYAmt
part_x,UnrAssEOYAmt,2014v5.0,Return/ReturnData/IRS990/UnrestrictedNetAssetsGrp/EOYAmt
part_x,TmpRstAssEOYAmt,2014v5.0,Return/ReturnData/IRS990/TemporarilyRstrNetAssetsGrp/EOYAmt
part_x,PrmRstAssEOYAmt,2014v5.0,Return/ReturnData/IRS990/PermanentlyRstrNetAssetsGrp/EOYAmt
part_x,CapStkTrEOYAmt,2014v5.0,Return/ReturnData/IRS990/CapStkTrPrinCurrentFundsGrp/EOYAmt
part_x,PtInCapEOYAmt,2014v5.0,Return/ReturnData/IRS990/PdInCapSrplsLandBldgEqpFundGrp/EOYAmt
part_x,RtnEndEOYAmt,2014v5.0,Return/ReturnData/IRS990/RtnEarnEndowmentIncmOthFndsGrp/EOYAmt
part_x,TtlNetEOYAmt,2014v5.0,Return/ReturnData/IRS990/TotalNetAssetsFundBalanceGrp/EOYAmt
part_x,SFAS117Yes,2014v5.0,Return/ReturnData/IRS990/OrganizationFollowsSFAS117Ind
part_x,SFAS117No,2014v5.0,Return/ReturnData/IRS990/OrgDoesNotFollowSFAS117Ind
part_xii,FSAudited,2014v5.0,Return/ReturnData/IRS990/FSAuditedInd
part_xii,AuditCmt,2014v5.0,Return/ReturnData/IRS990/AuditCommitteeInd
header,FilerEIN,2013v4.0,Return/ReturnHeader/Filer/EIN
header,TaxYr,2013v4.0,Return/ReturnHeader/TaxYr
header,Amended,2013v4.0,Return/ReturnHeader/AmendedReturnInd
header,FilerName1,2013v4.0,Return/ReturnHeader/Filer/BusinessName/BusinessNameLine1
header,FilerName2,2013v4.0,Return/ReturnHeader/Filer/BusinessName/BusinessNameLine2
header,PdBeginDt,2013v4.0,Return/ReturnHeader/TaxPeriodBeginDt
header,PdEndDt,2013v4.0,Return/ReturnHeader/TaxPeriodEndDt
header,Org501c3,2013v4.0,Return/ReturnData/IRS990/Organization501c3Ind
header,Org501cInd,2013v4.0,Return/ReturnData/IRS990/Organization501cInd
header,Org501cType,2013v4.0,Return/ReturnData/IRS990/Organization501cInd*organization501cTypeTxt
header,Org4947a1,2013v4.0,Return/ReturnData/IRS990/Organization4947a1NotPFInd
header,Org527Ind,2013v4.0,Return/ReturnData/IRS990/Organization527Ind
header,FormYr,2013v4.0,Return/ReturnData/IRS990/FormationYr
part_i,VoteBodyCount,2013v4.0,Return/ReturnData/IRS990/VotingMembersGoverningBodyCnt
part_i,VoteIndpCount,2013v4.0,Return/ReturnData/IRS990/VotingMembersIndependentCnt
part_i,Revenue,2013v4.0,Return/ReturnData/IRS990/CYTotalRevenueAmt
part_i,Expenses,2013v4.0,Return/ReturnData/IRS990/CYTotalExpensesAmt
part_i,RevLessExp,2013v4.0,Return/ReturnData/IRS990/CYRevenuesLessExpensesAmt
part_iv,CurExcess,2013v4.0,Return/ReturnData/IRS990/EngagedInExcessBenefitTransInd
part_iv,PrevExcess,2013v4.0,Return/ReturnData/IRS990/PYExcessBenefitTransInd
part_iv,HasLoan,2013v4.0,Return/ReturnData/IRS990/LoanOutstandingInd
part_iv,RelPersRevenue,2013v4.0,Return/ReturnData/IRS990/GrantToRelatedPersonInd
part_iv,BusOrgMem,2013v4.0,Return/ReturnData/IRS990/BusinessRlnWithOrgMemInd
part_iv,BusFamMem,2013v4.0,Return/ReturnData/IRS990/BusinessRlnWithFamMemInd
part_iv,BusOfficer,2013v4.0,Return/ReturnData/IRS990/BusinessRlnWithOfficerEntInd
part_vi,Diversion,2013v4.0,Return/ReturnData/IRS990/MaterialDiversionOrMisuseInd
part_vi,HasMinutes,2013v4.0,Return/ReturnData/IRS990/MinutesOfGoverningBodyInd
part_vi,PrvForm990,2013v4.0,Return/ReturnData/IRS990/Form990ProvidedToGvrnBodyInd
part_vi,COIPolicy,2013v4.0,Return/ReturnData/IRS990/ConflictOfInterestPolicyInd
part_vi,WBPolicy,2013v4.0,Return/ReturnData/IRS990/WhistleblowerPolicyInd
part_vi,DocRetPolicy,2013v4.0,Return/ReturnData/IRS990/DocumentRetentionPolicyInd
part_vi,CeoCompProc,2013v4.0,Return/ReturnData/IRS990/CompensationProcessCEOInd
part_viii,FedCmpsAmt,2013v4.0,Return/ReturnData/IRS990/FederatedCampaignsAmt
part_viii,MemDuesAmt,2013v4.0,Return/ReturnData/IRS990/MembershipDuesAmt
part_viii,FundrAmt,2013v4.0,Return/ReturnData/IRS990/FundraisingAmt
part_viii,RelOrgAmt,2013v4.0,Return/ReturnData/IRS990/RelatedOrganizationsAmt
part_viii,GovGrntAmt,2013v4.0,Return/ReturnData/IRS990/GovernmentGrantsAmt
part_viii,OtherCntAmt,2013v4.0,Return/ReturnData/IRS990/AllOtherContributionsAmt
part_viii,NoncashAmt,2013v4.0,Return/ReturnData/IRS990/NoncashContributionsAmt
part_viii,TtlCntAmt,2013v4.0,Return/ReturnData/IRS990/TotalContributionsAmt
part_viii,TtlPrgRevAmt,2013v4.0,Return/ReturnData/IRS990/TotalProgramServiceRevenueAmt
part_viii,CntRptFndAmt,2013v4.0,Return/ReturnData/IRS990/ContriRptFundraisingEventAmt
part_viii,FndGrossAmt,2013v4.0,Return/ReturnData/IRS990/FundraisingGrossIncomeAmt
part_viii,FndDirExpAmt,2013v4.0,Return/ReturnData/IRS990/FundraisingDirectExpensesAmt
part_viii,TtlFndRevAmt,2013v4.0,Return/ReturnData/IRS990/NetIncmFromFundraisingEvtGrp/TotalRevenueColumnAmt
part_viii,TtlRevAmt,2013v4.0,Return/ReturnData/IRS990/TotalRevenueGrp/TotalRevenueColumnAmt
part_ix,GrnDomOrgAmt,2013v4.0,Return/ReturnData/IRS990/GrantsToDomesticOrgsGrp/TotalAmt
part_ix,GrnDomIndAmt,2013v4.0,Return/ReturnData/IRS990/GrantsToDomesticIndividualsGrp/TotalAmt
part_ix,GrnFrnAmt,2013v4.0,Return/ReturnData/IRS990/ForeignGrantsGrp/TotalAmt
part_ix,FundrFeesAmt,2013v4.0,Return/ReturnData/IRS990/FeesForServicesProfFundraising/TotalAmt
part_ix,AffilPmtAmt,2013v4.0,Return/ReturnData/IRS990/PaymentsToAffiliatesGrp/TotalAmt
part_ix,FncExpTtlAmt,2013v4.0,Return/ReturnData/IRS990/TotalFunctionalExpensesGrp/TotalAmt
part_ix,FncExpSvcAmt,2013v4.0,Return/ReturnData/IRS990/TotalFunctionalExpensesGrp/ProgramServicesAmt
part_ix,FncExpMgtAmt,2013v4.0,Return/ReturnData/IRS990/TotalFunctionalExpensesGrp/ManagementAndGeneralAmt
part_ix,FncExpFndAmt,2013v4.0,Return/ReturnData/IRS990/TotalFunctionalExpensesGrp/FundraisingAmt
part_ix,JntCstTtlAmt,2013v4.0,Return/ReturnData/IRS990/TotalJointCostsGrp/TotalAmt
part_ix,JntCstSvcAmt,2013v4.0,Return/ReturnData/IRS990/TotalJointCostsGrp/ProgramServicesAmt
part_ix,JntCstMgtAmt,2013v4.0,Return/ReturnData/IRS990/TotalJointCostsGrp/ManagementAndGeneralAmt
part_ix,JntCstFdrAmt,2013v4.0,Return/ReturnData/IRS990/TotalJointCostsGrp/FundraisingAmt
part_x,TtlRevEOYAmt,2013v4.0,Return/ReturnData/IRS990/TotalAssetsGrp/EOYAmt
part_x,TtlLblEOYAmt,2013v4.0,Return/ReturnData/IRS990/TotalLiabilitiesGrp/EOYAmt
part_x,UnrAssEOYAmt,2013v4.0,Return/ReturnData/IRS990/UnrestrictedNetAssetsGrp/EOYAmt
part_x,TmpRstAssEOYAmt,2013v4.0,Return/ReturnData/IRS990/TemporarilyRstrNetAssetsGrp/EOYAmt
part_x,PrmRstAssEOYAmt,2013v4.0,Return/ReturnData/IRS990/PermanentlyRstrNetAssetsGrp/EOYAmt
part_x,CapStkTrEOYAmt,2013v4.0,Return/ReturnData/IRS990/CapStkTrPrinCurrentFundsGrp/EOYAmt
part_x,PtInCapEOYAmt,2013v4.0,Return/ReturnData/IRS990/PdInCapSrplsLandBldgEqpFundGrp/EOYAmt
part_x,RtnEndEOYAmt,2013v4.0,Return/ReturnData/IRS990/RtnEarnEndowmentIncmOthFndsGrp/EOYAmt
part_x,TtlNetEOYAmt,2013v4.0,Return/ReturnData/IRS990/TotalNetAssetsFundBalanceGrp/EOYAmt
part_x,SFAS117Yes,2013v4.0,Return/ReturnData/IRS990/OrganizationFollowsSFAS117Ind
part_x,SFAS117No,2013v4.0,Return/ReturnData/IRS990/OrgDoesNotFollowSFAS117Ind
part_xii,FSAudited,2013v4.0,Return/ReturnData/IRS990/FSAuditedInd
part_xii,AuditCmt,2013v4.0,Return/ReturnData/IRS990/AuditCommitteeInd
header,FilerEIN,2013v3.1,Return/ReturnHeader/Filer/EIN
header,TaxYr,2013v3.1,Return/ReturnHeader/TaxYr
header,Amended,2013v3.1,Return/ReturnHeader/AmendedReturnInd
header,FilerName1,2013v3.1,Return/ReturnHeader/Filer/BusinessName/BusinessNameLine1
header,FilerName2,2013v3.1,Return/ReturnHeader/Filer/BusinessName/BusinessNameLine2
header,PdBeginDt,2013v3.1,Return/ReturnHeader/TaxPeriodBeginDt
header,PdEndDt,2013v3.1,Return/ReturnHeader/TaxPeriodEndDt
header,Org501c3,2013v3.1,Return/ReturnData/IRS990/Organization501c3Ind
header,Org501cInd,2013v3.1,Return/ReturnData/IRS990/Organization501cInd
header,Org501cType,2013v3.1,Return/ReturnData/IRS990/Organization501cInd*organization501cTypeTxt
header,Org4947a1,2013v3.1,Return/ReturnData/IRS990/Organization4947a1NotPFInd
header,Org527Ind,2013v3.1,Return/ReturnData/IRS990/Organization527Ind
header,FormYr,2013v3.1,Return/ReturnData/IRS990/FormationYr
part_i,VoteBodyCount,2013v3.1,Return/ReturnData/IRS990/VotingMembersGoverningBodyCnt
part_i,VoteIndpCount,2013v3.1,Return/ReturnData/IRS990/VotingMembersIndependentCnt
part_i,Revenue,2013v3.1,Return/ReturnData/IRS990/CYTotalRevenueAmt
part_i,Expenses,2013v3.1,Return/ReturnData/IRS990/CYTotalExpensesAmt
part_i,RevLessExp,2013v3.1,Return/ReturnData/IRS990/CYRevenuesLessExpensesAmt
part_iv,CurExcess,2013v3.1,Return/ReturnData/IRS990/EngagedInExcessBenefitTransInd
part_iv,PrevExcess,2013v3.1,Return/ReturnData/IRS990/PYExcessBenefitTransInd
part_iv,HasLoan,2013v3.1,Return/ReturnData/IRS990/LoanOutstandingInd
part_iv,RelPersRevenue,2013v3.1,Return/ReturnData/IRS990/GrantToRelatedPersonInd
part_iv,BusOrgMem,2013v3.1,Return/ReturnData/IRS990/BusinessRlnWithOrgMemInd
part_iv,BusFamMem,2013v3.1,Return/ReturnData/IRS990/BusinessRlnWithFamMemInd
part_iv,BusOfficer,2013v3.1,Return/ReturnData/IRS990/BusinessRlnWithOfficerEntInd
part_vi,Diversion,2013v3.1,Return/ReturnData/IRS990/MaterialDiversionOrMisuseInd
part_vi,HasMinutes,2013v3.1,Return/ReturnData/IRS990/MinutesOfGoverningBodyInd
part_vi,PrvForm990,2013v3.1,Return/ReturnData/IRS990/Form990ProvidedToGvrnBodyInd
part_vi,COIPolicy,2013v3.1,Return/ReturnData/IRS990/ConflictOfInterestPolicyInd
part_vi,WBPolicy,2013v3.1,Return/ReturnData/IRS990/WhistleblowerPolicyInd
part_vi,DocRetPolicy,2013v3.1,Return/ReturnData/IRS990/DocumentRetentionPolicyInd
part_vi,CeoCompProc,2013v3.1,Return/ReturnData/IRS990/CompensationProcessCEOInd
part_viii,FedCmpsAmt,2013v3.1,Return/ReturnData/IRS990/FederatedCampaignsAmt
part_viii,MemDuesAmt,2013v3.1,Return/ReturnData/IRS990/MembershipDuesAmt
part_viii,FundrAmt,2013v3.1,Return/ReturnData/IRS990/FundraisingAmt
part_viii,RelOrgAmt,2013v3.1,Return/ReturnData/IRS990/RelatedOrganizationsAmt
part_viii,GovGrntAmt,2013v3.1,Return/ReturnData/IRS990/GovernmentGrantsAmt
part_viii,OtherCntAmt,2013v3.1,Return/ReturnData/IRS990/AllOtherContributionsAmt
part_viii,NoncashAmt,2013v3.1,Return/ReturnData/IRS990/NoncashContributionsAmt
part_viii,TtlCntAmt,2013v3.1,Return/ReturnData/IRS990/TotalContributionsAmt
part_viii,TtlPrgRevAmt,2013v3.1,Return/ReturnData/IRS990/TotalProgramServiceRevenueAmt
part_viii,CntRptFndAmt,2013v3.1,Return/ReturnData/IRS990/ContriRptFundraisingEventAmt
part_viii,FndGrossAmt,2013v3.1,Return/ReturnData/IRS990/FundraisingGrossIncomeAmt
part_viii,FndDirExpAmt,2013v3.1,Return/ReturnData/IRS990/FundraisingDirectExpensesAmt
part_viii,TtlFndRevAmt,2013v3.1,Return/ReturnData/IRS990/NetIncmFromFundraisingEvtGrp/TotalRevenueColumnAmt
part_viii,TtlRevAmt,2013v3.1,Return/ReturnData/IRS990/TotalRevenueGrp/TotalRevenueColumnAmt
part_ix,GrnDomOrgAmt,2013v3.1,Return/ReturnData/IRS990/GrantsToDomesticOrgsGrp/TotalAmt
part_ix,GrnDomIndAmt,2013v3.1,Return/ReturnData/IRS990/GrantsToDomesticIndividualsGrp/TotalAmt
part_ix,GrnFrnAmt,2013v3.1,Return/ReturnData/IRS990/ForeignGrantsGrp/TotalAmt
part_ix,FundrFeesAmt,2013v3.1,Return/ReturnData/IRS990/FeesForServicesProfFundraising/TotalAmt
part_ix,AffilPmtAmt,2013v3.1,Return/ReturnData/IRS990/PaymentsToAffiliatesGrp/TotalAmt
part_ix,FncExpTtlAmt,2013v3.1,Return/ReturnData/IRS990/TotalFunctionalExpensesGrp/TotalAmt
part_ix,FncExpSvcAmt,2013v3.1,Return/ReturnData/IRS990/TotalFunctionalExpensesGrp/ProgramServicesAmt
part_ix,FncExpMgtAmt,2013v3.1,Return/ReturnData/IRS990/TotalFunctionalExpensesGrp/ManagementAndGeneralAmt
part_ix,FncExpFndAmt,2013v3.1,Return/ReturnData/IRS990/TotalFunctionalExpensesGrp/FundraisingAmt
part_ix,JntCstTtlAmt,2013v3.1,Return/ReturnData/IRS990/TotalJointCostsGrp/TotalAmt
part_ix,JntCstSvcAmt,2013v3.1,Return/ReturnData/IRS990/TotalJointCostsGrp/ProgramServicesAmt
part_ix,JntCstMgtAmt,2013v3.1,Return/ReturnData/IRS990/TotalJointCostsGrp/ManagementAndGeneralAmt
